party_id,as_filed,qid,wd_label,wd_description,p31,mark,mapped_type
2399,American Association of Grain Inspection & Weighing Agencies,,,,,,
3569,American Forest Resource Council,,,,,,
9861,Baltimore Metropolitan Council,,,,,,
3978,Caribbean Shippers Association Inc,,,,,,
6207,Committee For Preservation Of The Rice-Blythe-Ripley Rail Line,,,,,,
7791,Community Coalition On High Speed Rail,,,,,,
5960,Coos/Sisklyou Shippers Coalition,,,,,,
6039,Eugene Area Chamber Of Commerce,Q96091382,Eugene Area Chamber of Commerce.,,Q43229,,
3341,Halogenated Solvents Industry Alliance Inc,Q30265010,Halogenated Solvents Industry Alliance (United States),"company in Arlington, United States",Q4830453,,company
5407,International Brotherhood Of TeamstersBrotherhood Of Maintenance Of Way Employes,,,,,,
4070,Kalispell Area Chamber Of Commerce,,,,,,
7603,Michigan Agri-Business Association,,,,,,
6505,Midwest Shippers Association,,,,,,
3345,Motor Carriers Traffic Association,,,,,,
9630,National Coast Trail Association,,,,,,
478,National Industrial Transportation League,,,,,,
53,Natural Resources Defense Council,Q841895,Natural Resources Defense Council,"non-profit international environmental advocacy group, with its headquarters in New York City",Q163740|Q1785733,,
821,North Dakota Grain Growers Association,,,,,,
2143,Ohio Chamber of Commerce,,,,,,
9878,Panhandle Rail Trail Association,,,,,,
8798,Pennsylvania Chemical Industry Council,,,,,,
5660,Powder River Basin Resource Council,,,,,,
3732,Seafarers International Union,Q1716615,Seafarers International Union of North America,"organization of 12 autonomous labor unions of mariners, fishermen and boatmen",Q43229|Q178790,,
3679,South Dakota Education Association/Nea,,,,,,
6181,Teamsters Rail Conference,,,,,,
850,The Association of Maryland Pilots,,,,,,
2486,The Coalition to Stop CPKC,,,,,,
2340,The Industrial Transportation League,,,,,,
2396,The Institute of Scrap Recycling Industries,,,,,,
6072,Toledo Metropolitan Area Council Of Governments,Q17090214,Toledo Metropolitan Area Council of Governments,metropolitan planning organization,,,
3707,Transportation Communications International Union,Q7835165,Transportation Communications International Union,Organization in the United States,Q178790,,
2345,Transportation Communications Union,,,,,,
4501,United Transportation Union General Committee Of Adjustment,,,,,,
4771,United Transportation Union New York State Legislative Board,,,,,,
8794,Us Glass Producers Transportation Council,,,,,,
8843,"Vermont Association Of Snow Travelers, Inc.",Q16889998,Vermont Association of Snow Travelers,American snowmobiling organization,Q163740,,
739,Western Chicagoland Merger Oversight Alliance,,,,,,
5409,Western Coal Traffic LeagueWestern Fuels Association Inc,,,,,,
4976,"Western Fuels Association, Inc. And Basin Electric Power Cooperative, Inc.",,,,,,
3755,Wisconsin Association Of Manufacturers & Commerce Inc,,,,,,
669,"AJAK Rail, LLC",,,,,,
3014,Alaska Steel Corporation,,,,,,
3378,Alliant Energy Corporation,Q4732492,Alliant Energy,"public utility holding company based in Madison,WI, US",Q4830453|Q891723,,company
6226,Amvac Chemical Corporation,,,,,,
3957,Appalachian Power Company,Q109013941,Appalachian Power,utility in the United States,Q4830453|Q1951366,,company
7901,"Bentonite Performance Minerals, Llc",,,,,,
4453,Camas Prairie Railmet Inc,,,,,,
300,"Ethanol Products, LLC",,,,,,
83,"Evergy Metro, Inc.",,,,,,
9325,"Foresight Coal Sales, Llc Suger Camp Energy, Llc",,,,,,
4025,Fraser Papers Inc,Q3362880,Fraser Papers,,Q4830453,,company
828,Freeport-McMoRan Inc.,Q1453620,Freeport-McMoRan,producer of copper and gold,Q4830453|Q6881511|Q891723,,company
2255,"HMA Properties, LLC",,,,,,
3844,Interdynamics Inc,Q135509585,Interdynamic AB,defunct Swedish firearms manufacturer,Q64689341,,
9818,"Iron And Metals, Inc.",,,,,,
5025,J.D. Heiskell & Company,,,,,,
4625,Kinder Morgan Liquids Terminals Llc,,,,,,
8683,Lapeer Development Corporation,,,,,,
2258,"Lineage Logistics, LLC",Q60746845,Lineage Logistics,international warehousing and logistics management corporation,Q167037|Q697852,,
2483,Mid-Atlantic Gateway LLC,,,,,,
5530,Middlewest Motor Freight Bureau IncPacific Inland Tariff Bureau Inc,,,,,,
720,Occidental Chemical Corporation,Q31884170,Occidental Chemical Corporation,American chemical corporation,Q90285334|Q43229,,
5638,Patriot Rail Corp,,,,,,
4592,Philadelphia Industrial Development Corporation,,,,,,
3229,Premay Pipeline Hauling Ltd,,,,,,
2599,Rainier Rail LLC,,,,,,
7763,Roanoke Cement Company,,,,,,
2646,"Savannah Industrial Logistics, LLC",,,,,,
504,"South Central Florida Express, Inc.",Q7566756,"South Central Florida Express, Inc.",shortline railroad in Florida,Q728937,,
1354,SteelRiver Transport Ventures LLC,,,,,,
2222,Stimson Lumber Company,Q113171658,Stimson Lumber Company Inc.,American forest products company,Q1589009,,
229,TIP MN Investments LP,,,,,,
1338,"The Baupost Group, L.L.C.",Q4873568,The Baupost Group,American Hedge Fund and Investment Manager,Q149789|Q14864997,,
9809,The Pasha Group,,,,,,
6256,"Total Transportation Services, Inc.",Q66132712,"Total Transportation Services, Inc","Logistics provider driven by California Compliance and Sustainability. Services include transportation of imports and exports within the US, Canada and Mexico.",Q4830453,,company
8688,"Tucker Company Worldwide, Inc.",,,,,,
3008,United Parcel Service Inc,Q155026,United Parcel Service,American international package delivery company,Q4830453|Q891723,,company
6707,"Vanchlor Co., Inc.",,,,,,
8261,Wally Mcrae/Clint Mcrae D.B.A. Rocker Six Cattle Company,,,,,,
1832,"Waste Connections US Holdings, Inc.",,,,,,
6154,Board Of Lincoln County Commissioners,,,,,,
4157,Boone And Dallas County Conservation Boards,,,,,,
5082,Cape May County Municipal Utilities Authority,Q128034416,Cape May County Municipal Utilities Authority,"government agency for utilities in Cape May County, New Jersey",Q327333,,government
5744,Champaign County Chamber Of Commerce Board Of Directors,,,,,,
7773,City Of Bakersfield,Q139041350,City of Bakersfield,"government of Bakersfield, California, United States",Q138816350,,
4057,City Of Fitchburg Massachusetts,,,,,,
4673,City Of Snohomish,,,,,,
3911,City Of Topeka Kansas,,,,,,
1008,City of Chicago,Q1297,Chicago,"city and county seat of Cook County, and largest city in State of Illinois, United States of America",Q110071194|Q208511|Q1549591,,
1767,City of Los Angeles,Q65,Los Angeles,"seat of Los Angeles County, and largest city in California, United States",Q13218391|Q515|Q200250|Q131338872|Q1093829,,government
8590,Colorado Department Of Transportation,Q2112717,Colorado Department of Transportation,"government agency in Colorado, United States",Q97010948,,
8043,Department Of Defense,Q1788820,defence ministry,type of ministry responsible for the armed forces and related agencies,,,
4613,Florida Department Of State Division Of Historical Resources,,,,,,
5138,"Gaston County North Carolina,",,,,,,
764,Grand County Board of Commissioners Colorado,,,,,,
3401,Green Hills Regional Planning Commission,,,,,,
1743,Hancock County Port,,,,,,
2065,Hennepin County,Q486229,Hennepin County,"county in Minnesota, United States",Q12262532,,
1844,Humboldt County Association of Governments,,,,,,
3563,Jackson County Port Authority,,,,,,
7930,Letcher County Fiscal Court,,,,,,
6340,Mayor Of The City Of Mitchell,,,,,,
4308,Medina County Environmental Action Association,,,,,,
